Average Episodic Reward,Average Episodic N-Reward
21268.619642770038,21268.619642770038
21307.39217632923,21307.39217632923
21377.179845027298,21377.179845027298
Average Episodic Reward,Average Episodic N-Reward
21268.619642770038,21268.619642770038
21437.23497528651,21437.23497528651
21307.39217632923,21307.39217632923
21217.028336273186,21217.028336273186
21377.179845027298,21377.179845027298
21228.843126954896,21228.843126954896
21437.23497528651,21437.23497528651
21437.810542713025,21437.810542713025
21217.028336273186,21217.028336273186
21367.907073502523,21367.907073502523
21228.843126954896,21228.843126954896
21247.948756927868,21247.948756927868
21437.810542713025,21437.810542713025
21528.221048911488,21528.221048911488
21367.907073502523,21367.907073502523
21634.608606583868,21634.608606583868
21247.948756927868,21247.948756927868
21535.16346331779,21535.16346331779
21528.221048911488,21528.221048911488
21417.070713537465,21417.070713537465
21634.608606583868,21634.608606583868
21525.830044067974,21525.830044067974
21535.16346331779,21535.16346331779
21229.027622416288,21229.027622416288
21417.070713537465,21417.070713537465
21298.319547966392,21298.319547966392
21525.830044067974,21525.830044067974
21339.17248895134,21339.17248895134
21229.027622416288,21229.027622416288
21289.499525814477,21289.499525814477
21298.319547966392,21298.319547966392
21665.657664057548,21665.657664057548
21339.17248895134,21339.17248895134
21357.68858026782,21357.68858026782
21289.499525814477,21289.499525814477
21566.504278916145,21566.504278916145
21665.657664057548,21665.657664057548
21525.825734339174,21525.825734339174
21357.68858026782,21357.68858026782
21398.12566191863,21398.12566191863
21566.504278916145,21566.504278916145
21388.00122348327,21388.00122348327
21525.825734339174,21525.825734339174
21467.774753628186,21467.774753628186
21398.12566191863,21398.12566191863
19378.72167244455,19378.72167244455
21388.00122348327,21388.00122348327
19657.557408166696,19657.557408166696
21467.774753628186,21467.774753628186
20460.954935091428,20460.954935091428
19378.72167244455,19378.72167244455
23685.97566188112,23685.97566188112
19657.557408166696,19657.557408166696
23427.71102960763,23427.71102960763
20460.954935091428,20460.954935091428
23288.65706133829,23288.65706133829
23685.97566188112,23685.97566188112
23228.85627906304,23228.85627906304
23427.71102960763,23427.71102960763
23109.963818247557,23109.963818247557
23288.65706133829,23288.65706133829
23050.54558012629,23050.54558012629
23228.85627906304,23228.85627906304
23030.469436554817,23030.469436554817
23109.963818247557,23109.963818247557
23020.591872276953,23020.591872276953
23050.54558012629,23050.54558012629
23030.576441560068,23030.576441560068
23030.469436554817,23030.469436554817
23030.576441560068,23030.576441560068
23020.591872276953,23020.591872276953
23030.576441560068,23030.576441560068
23030.576441560068,23030.576441560068
23030.576441560068,23030.576441560068
23030.576441560068,23030.576441560068
23020.591872276953,23020.591872276953
23030.576441560068,23030.576441560068
23020.591872276953,23020.591872276953
23030.576441560068,23030.576441560068
23020.591872276953,23020.591872276953
23020.591872276953,23020.591872276953
23020.591872276953,23020.591872276953
23020.591872276953,23020.591872276953
23020.591872276953,23020.591872276953
23020.591872276953,23020.591872276953
23020.591872276953,23020.591872276953
23020.591872276953,23020.591872276953
23030.576441560068,23030.576441560068
23020.591872276953,23020.591872276953
23020.591872276953,23020.591872276953
23020.591872276953,23020.591872276953
23020.591872276953,23020.591872276953
23030.576441560068,23030.576441560068
23030.576441560068,23030.576441560068
23020.591872276953,23020.591872276953
23020.591872276953,23020.591872276953
23020.591872276953,23020.591872276953
23020.591872276953,23020.591872276953
23030.576441560068,23030.576441560068
23020.591872276953,23020.591872276953
23020.591872276953,23020.591872276953
23030.576441560068,23030.576441560068
23020.591872276953,23020.591872276953
23020.591872276953,23020.591872276953
23020.591872276953,23020.591872276953
Average Episodic Reward,Average Episodic N-Reward
21268.619642770038,21268.619642770038
21307.39217632923,21307.39217632923
21377.179845027298,21377.179845027298
21437.23497528651,21437.23497528651
21217.028336273186,21217.028336273186
21228.843126954896,21228.843126954896
21437.810542713025,21437.810542713025
21367.907073502523,21367.907073502523
21247.948756927868,21247.948756927868
21528.221048911488,21528.221048911488
21634.608606583868,21634.608606583868
21535.16346331779,21535.16346331779
21417.070713537465,21417.070713537465
21525.830044067974,21525.830044067974
21229.027622416288,21229.027622416288
21298.319547966392,21298.319547966392
21339.17248895134,21339.17248895134
21289.499525814477,21289.499525814477
21665.657664057548,21665.657664057548
21357.68858026782,21357.68858026782
21566.504278916145,21566.504278916145
21525.825734339174,21525.825734339174
21398.12566191863,21398.12566191863
21388.00122348327,21388.00122348327
21467.774753628186,21467.774753628186
19378.72167244455,19378.72167244455
19657.557408166696,19657.557408166696
20460.954935091428,20460.954935091428
23685.97566188112,23685.97566188112
23427.71102960763,23427.71102960763
23288.65706133829,23288.65706133829
23228.85627906304,23228.85627906304
23109.963818247557,23109.963818247557
23050.54558012629,23050.54558012629
23030.469436554817,23030.469436554817
23020.591872276953,23020.591872276953
23030.576441560068,23030.576441560068
23030.576441560068,23030.576441560068
23030.576441560068,23030.576441560068
23030.576441560068,23030.576441560068
23020.591872276953,23020.591872276953
23020.591872276953,23020.591872276953
23020.591872276953,23020.591872276953
23020.591872276953,23020.591872276953
23020.591872276953,23020.591872276953
23020.591872276953,23020.591872276953
23030.576441560068,23030.576441560068
23020.591872276953,23020.591872276953
23020.591872276953,23020.591872276953
23030.576441560068,23030.576441560068
23020.591872276953,23020.591872276953
23020.591872276953,23020.591872276953
23020.591872276953,23020.591872276953
23030.576441560068,23030.576441560068
23020.591872276953,23020.591872276953
23020.591872276953,23020.591872276953
23020.591872276953,23020.591872276953
23020.591872276953,23020.591872276953
23030.576441560068,23030.576441560068
23030.576441560068,23030.576441560068
23020.591872276953,23020.591872276953
23030.576441560068,23030.576441560068
23020.591872276953,23020.591872276953
23040.4717857998,23040.4717857998
23020.591872276953,23020.591872276953
23030.576441560068,23030.576441560068
23020.591872276953,23020.591872276953
23030.576441560068,23030.576441560068
23020.591872276953,23020.591872276953
23020.591872276953,23020.591872276953
23030.535632858,23030.535632858
23020.591872276953,23020.591872276953
23020.591872276953,23020.591872276953
23020.591872276953,23020.591872276953
23020.591872276953,23020.591872276953
23030.439702467756,23030.439702467756
23020.591872276953,23020.591872276953
23020.591872276953,23020.591872276953
23030.576441560068,23030.576441560068
23030.576441560068,23030.576441560068
23020.591872276953,23020.591872276953
23010.671914656697,23010.671914656697
23020.591872276953,23020.591872276953
23030.576441560068,23030.576441560068
23020.591872276953,23020.591872276953
23020.591872276953,23020.591872276953
23020.591872276953,23020.591872276953
23030.576441560068,23030.576441560068
23020.591872276953,23020.591872276953
23020.591872276953,23020.591872276953
23020.591872276953,23020.591872276953
23020.591872276953,23020.591872276953
23030.576441560068,23030.576441560068
23030.535632858,23030.535632858
23040.451903051813,23040.451903051813
23020.591872276953,23020.591872276953
23020.591872276953,23020.591872276953
23030.576441560068,23030.576441560068
23030.576441560068,23030.576441560068
23020.591872276953,23020.591872276953
23030.576441560068,23030.576441560068
23020.591872276953,23020.591872276953
23020.591872276953,23020.591872276953
23020.591872276953,23020.591872276953
23030.576441560068,23030.576441560068
23020.591872276953,23020.591872276953
23020.591872276953,23020.591872276953
23030.576441560068,23030.576441560068
23020.591872276953,23020.591872276953
23020.591872276953,23020.591872276953
23030.576441560068,23030.576441560068
23030.535632858,23030.535632858
23040.398140473622,23040.398140473622
23030.576441560068,23030.576441560068
23030.576441560068,23030.576441560068
23020.591872276953,23020.591872276953
23020.591872276953,23020.591872276953
23020.591872276953,23020.591872276953
23020.591872276953,23020.591872276953
23020.591872276953,23020.591872276953
23020.591872276953,23020.591872276953
23020.591872276953,23020.591872276953
23020.591872276953,23020.591872276953
23020.591872276953,23020.591872276953
23040.487365516998,23040.487365516998
23040.526683441098,23040.526683441098
23020.591872276953,23020.591872276953
23040.561010843176,23040.561010843176
23020.591872276953,23020.591872276953
23030.576441560068,23030.576441560068
23020.591872276953,23020.591872276953
23020.591872276953,23020.591872276953
23020.591872276953,23020.591872276953
23030.576441560068,23030.576441560068
23040.561010843176,23040.561010843176
23020.591872276953,23020.591872276953
23020.591872276953,23020.591872276953
23020.591872276953,23020.591872276953
23020.591872276953,23020.591872276953
23020.591872276953,23020.591872276953
23020.591872276953,23020.591872276953
23020.591872276953,23020.591872276953
23020.591872276953,23020.591872276953
23020.591872276953,23020.591872276953
23030.576441560068,23030.576441560068
23030.576441560068,23030.576441560068
23020.591872276953,23020.591872276953
23020.591872276953,23020.591872276953
23030.487216516693,23030.487216516693
23050.362827008743,23050.362827008743
23020.591872276953,23020.591872276953
23020.591872276953,23020.591872276953
23020.591872276953,23020.591872276953
23020.591872276953,23020.591872276953
23030.576441560068,23030.576441560068
23030.576441560068,23030.576441560068
23030.576441560068,23030.576441560068
23020.591872276953,23020.591872276953
23020.591872276953,23020.591872276953
23030.576441560068,23030.576441560068
23020.591872276953,23020.591872276953
23030.576441560068,23030.576441560068
23020.591872276953,23020.591872276953
23020.591872276953,23020.591872276953
23030.576441560068,23030.576441560068
23020.591872276953,23020.591872276953
23020.591872276953,23020.591872276953
23020.591872276953,23020.591872276953
23020.591872276953,23020.591872276953
23020.591872276953,23020.591872276953
23020.591872276953,23020.591872276953
23020.591872276953,23020.591872276953
23020.591872276953,23020.591872276953
23020.591872276953,23020.591872276953
23020.591872276953,23020.591872276953
23030.576441560068,23030.576441560068
23020.591872276953,23020.591872276953
23030.576441560068,23030.576441560068
23020.591872276953,23020.591872276953
23020.591872276953,23020.591872276953
23030.576441560068,23030.576441560068
23030.439702467756,23030.439702467756
23020.591872276953,23020.591872276953
23020.591872276953,23020.591872276953
23030.576441560068,23030.576441560068
23020.591872276953,23020.591872276953
23030.576441560068,23030.576441560068
23020.591872276953,23020.591872276953
23020.591872276953,23020.591872276953
23020.591872276953,23020.591872276953
23020.591872276953,23020.591872276953
23020.591872276953,23020.591872276953
23030.576441560068,23030.576441560068
23020.591872276953,23020.591872276953
23020.591872276953,23020.591872276953
23020.591872276953,23020.591872276953
23020.591872276953,23020.591872276953
23030.576441560068,23030.576441560068
23030.576441560068,23030.576441560068
23020.591872276953,23020.591872276953
23020.591872276953,23020.591872276953
23030.576441560068,23030.576441560068
23030.439702467756,23030.439702467756
23020.591872276953,23020.591872276953
23030.576441560068,23030.576441560068
23020.591872276953,23020.591872276953
23020.591872276953,23020.591872276953
23030.576441560068,23030.576441560068
23010.719052627835,23010.719052627835
23020.591872276953,23020.591872276953
23020.591872276953,23020.591872276953
23020.591872276953,23020.591872276953
23020.591872276953,23020.591872276953
23020.591872276953,23020.591872276953
23020.591872276953,23020.591872276953
23040.487365516998,23040.487365516998
23020.591872276953,23020.591872276953
23020.591872276953,23020.591872276953
23020.591872276953,23020.591872276953
23020.591872276953,23020.591872276953
23030.576441560068,23030.576441560068
23020.591872276953,23020.591872276953
23020.591872276953,23020.591872276953
23020.591872276953,23020.591872276953
23030.576441560068,23030.576441560068
23020.591872276953,23020.591872276953
23020.591872276953,23020.591872276953
23030.576441560068,23030.576441560068
23020.591872276953,23020.591872276953
23030.576441560068,23030.576441560068
23020.591872276953,23020.591872276953
23020.591872276953,23020.591872276953
23030.576441560068,23030.576441560068
23020.591872276953,23020.591872276953
23020.591872276953,23020.591872276953
23030.576441560068,23030.576441560068
23030.576441560068,23030.576441560068
23030.64105322292,23030.64105322292
23020.591872276953,23020.591872276953
23020.591872276953,23020.591872276953
23020.591872276953,23020.591872276953
23020.591872276953,23020.591872276953
23020.591872276953,23020.591872276953
