Average Episodic Reward,Average Episodic N-Reward
19839.99793268501,19839.99793268501
19782.05186538891,19782.05186538891
19825.418759568143,19825.418759568143
19834.750509837588,19834.750509837588
Average Episodic Reward,Average Episodic N-Reward
19839.99793268501,19839.99793268501
19782.05186538891,19782.05186538891
19825.418759568143,19825.418759568143
19834.750509837588,19834.750509837588
19815.85210841066,19815.85210841066
19814.22641627024,19814.22641627024
19789.26160403206,19789.26160403206
19800.6506707778,19800.6506707778
19851.97995697847,19851.97995697847
19792.110379810805,19792.110379810805
19830.259736373126,19830.259736373126
19846.21308313118,19846.21308313118
19766.302372118003,19766.302372118003
19856.121796221138,19856.121796221138
19775.966491612286,19775.966491612286
19757.73735676981,19757.73735676981
19826.120218632135,19826.120218632135
19806.125530059944,19806.125530059944
19810.44273364157,19810.44273364157
19803.174044970918,19803.174044970918
19774.129938390164,19774.129938390164
19840.63065063962,19840.63065063962
19823.33437548358,19823.33437548358
19767.844345767367,19767.844345767367
19824.69067697312,19824.69067697312
19811.683530304013,19811.683530304013
19844.646970752437,19844.646970752437
19869.516374741354,19869.516374741354
19786.954072617504,19786.954072617504
19756.13075369717,19756.13075369717
19792.355946421427,19792.355946421427
19831.72112207183,19831.72112207183
19817.481839099328,19817.481839099328
19850.469761994096,19850.469761994096
19757.018626358,19757.018626358
19778.73623507489,19778.73623507489
19806.823530767277,19806.823530767277
19792.076827795132,19792.076827795132
19787.278266135225,19787.278266135225
19818.035154848607,19818.035154848607
19819.27054423682,19819.27054423682
19803.38132671016,19803.38132671016
19813.882858697107,19813.882858697107
19813.374062655985,19813.374062655985
19801.845981341976,19801.845981341976
19814.760280263807,19814.760280263807
19820.390007544436,19820.390007544436
19868.048461262424,19868.048461262424
19828.417337585302,19828.417337585302
19819.005741284716,19819.005741284716
19753.963925584383,19753.963925584383
17508.45991788829,17508.45991788829
16801.607524955965,16801.607524955965
17108.84939988846,17108.84939988846
17624.305319959694,17624.305319959694
18430.29975249676,18430.29975249676
18611.68883032428,18611.68883032428
18801.09029431631,18801.09029431631
19099.182507546408,19099.182507546408
19238.91489243329,19238.91489243329
19712.001905956244,19712.001905956244
19937.231611643332,19937.231611643332
20013.348063352572,20013.348063352572
20213.438846126908,20213.438846126908
20203.961645549392,20203.961645549392
20100.727733067328,20100.727733067328
20042.21619647736,20042.21619647736
20094.325403712,20094.325403712
20144.93695424026,20144.93695424026
20021.7159466019,20021.7159466019
20199.53467962852,20199.53467962852
19992.559585457166,19992.559585457166
20192.452789996645,20192.452789996645
20061.19556206225,20061.19556206225
20139.383433996907,20139.383433996907
20054.252369253503,20054.252369253503
20229.71404017486,20229.71404017486
20145.559737328895,20145.559737328895
20260.976620297668,20260.976620297668
20196.613992834253,20196.613992834253
20043.39016657046,20043.39016657046
20051.11565948692,20051.11565948692
20029.006969183025,20029.006969183025
20221.692094815517,20221.692094815517
20233.840672197,20233.840672197
20122.595231091,20122.595231091
20239.576574106657,20239.576574106657
20205.308512660198,20205.308512660198
20113.536800811264,20113.536800811264
20143.844719595592,20143.844719595592
20189.673704023822,20189.673704023822
20126.852124442506,20126.852124442506
20159.82873326715,20159.82873326715
20195.16915798117,20195.16915798117
20084.815342581864,20084.815342581864
20157.27554288099,20157.27554288099
20044.350519850454,20044.350519850454
20135.040816573088,20135.040816573088
20283.984435542843,20283.984435542843
20011.533691314584,20011.533691314584
20047.206010532016,20047.206010532016
20145.192518582506,20145.192518582506
20151.26336596081,20151.26336596081
20099.461716860376,20099.461716860376
20110.151283603216,20110.151283603216
20021.175923624483,20021.175923624483
20215.275378105194,20215.275378105194
20210.486780785737,20210.486780785737
20299.577060687025,20299.577060687025
20250.259723406878,20250.259723406878
20111.378690491994,20111.378690491994
20162.156545160582,20162.156545160582
20139.06147547588,20139.06147547588
20177.49697676494,20177.49697676494
20076.401911134886,20076.401911134886
20198.7944564277,20198.7944564277
20096.249045870343,20096.249045870343
20075.23594043392,20075.23594043392
20067.223425207016,20067.223425207016
20136.808637693197,20136.808637693197
20254.6187560128,20254.6187560128
20115.110790133473,20115.110790133473
20265.68521878978,20265.68521878978
20181.22235098678,20181.22235098678
19999.693735920046,19999.693735920046
20111.66849665202,20111.66849665202
20063.91883201449,20063.91883201449
20088.967549740133,20088.967549740133
20254.23997206055,20254.23997206055
20083.976943520698,20083.976943520698
20248.81632288393,20248.81632288393
20103.1714083998,20103.1714083998
20148.62172644456,20148.62172644456
20207.510075877733,20207.510075877733
20158.44016813668,20158.44016813668
20155.862609980406,20155.862609980406
20064.05997987644,20064.05997987644
20100.71872673178,20100.71872673178
20095.318213395225,20095.318213395225
20242.16318506978,20242.16318506978
20074.097343988662,20074.097343988662
Average Episodic Reward,Average Episodic N-Reward
38620.77722973929,38620.77722973929
38567.6831653566,38567.6831653566
38534.169468570646,38534.169468570646
38502.51340903705,38502.51340903705
38539.612409346206,38539.612409346206
38512.07976092621,38512.07976092621
38642.39788587444,38642.39788587444
38533.72571531146,38533.72571531146
38545.599686371505,38545.599686371505
38536.94455211213,38536.94455211213
38512.51972963408,38512.51972963408
38662.576539165515,38662.576539165515
38532.7230600863,38532.7230600863
38659.51449980581,38659.51449980581
38564.630242281004,38564.630242281004
38569.431407596705,38569.431407596705
38481.71854524442,38481.71854524442
38542.71089090366,38542.71089090366
38649.63440760103,38649.63440760103
38495.369492490536,38495.369492490536
38572.480262184305,38572.480262184305
38598.77575822467,38598.77575822467
38541.03539443527,38541.03539443527
38481.830067128554,38481.830067128554
38524.52148293433,38524.52148293433
39897.52707770484,39897.52707770484
38998.80241705286,38998.80241705286
42557.85793892487,42557.85793892487
44254.059020834284,44254.059020834284
47498.5046828635,47498.5046828635
49480.110649276154,49480.110649276154
49596.0862942771,49596.0862942771
50160.106060200706,50160.106060200706
50166.68951312605,50166.68951312605
50532.757898302196,50532.757898302196
50203.79475850729,50203.79475850729
50264.095117205594,50264.095117205594
50556.41660495257,50556.41660495257
49988.69386204927,49988.69386204927
50173.8358480692,50173.8358480692
50138.36653451828,50138.36653451828
50391.525311647325,50391.525311647325
50340.100507018244,50340.100507018244
50684.946873591914,50684.946873591914
50288.48379704047,50288.48379704047
50282.14336613555,50282.14336613555
50490.17825912218,50490.17825912218
50172.481585820744,50172.481585820744
50433.17515207122,50433.17515207122
49949.66012226827,49949.66012226827
49880.69743837073,49880.69743837073
49941.32678128536,49941.32678128536
50251.78595441689,50251.78595441689
50318.253904829166,50318.253904829166
50485.850351659494,50485.850351659494
50900.81934828205,50900.81934828205
50001.07269219322,50001.07269219322
50435.67905614942,50435.67905614942
50448.27224611174,50448.27224611174
50267.72253406237,50267.72253406237
50275.82260333597,50275.82260333597
50583.53319565309,50583.53319565309
50566.10703618857,50566.10703618857
50159.75286219282,50159.75286219282
50290.31799558021,50290.31799558021
50029.39996592384,50029.39996592384
50250.71293346794,50250.71293346794
50047.00098184377,50047.00098184377
49971.8225958976,49971.8225958976
50163.86096672561,50163.86096672561
50554.463063195115,50554.463063195115
50522.08305800493,50522.08305800493
50051.21303278342,50051.21303278342
50309.37859965018,50309.37859965018
50206.99203791069,50206.99203791069
50316.62618395718,50316.62618395718
49949.21351836349,49949.21351836349
50307.78675829745,50307.78675829745
50201.694305616664,50201.694305616664
50306.74389654914,50306.74389654914
49954.06009983018,49954.06009983018
50265.41996810262,50265.41996810262
50209.73304229207,50209.73304229207
50222.2873857338,50222.2873857338
50357.0621874706,50357.0621874706
50205.17506750539,50205.17506750539
49968.144255666884,49968.144255666884
50223.10366573303,50223.10366573303
50385.45735996272,50385.45735996272
50400.64365899241,50400.64365899241
50052.92702368397,50052.92702368397
50116.34409845052,50116.34409845052
50463.01753928693,50463.01753928693
50113.669032633596,50113.669032633596
50346.58399414328,50346.58399414328
50481.62432048928,50481.62432048928
50272.23754690054,50272.23754690054
50654.39912299965,50654.39912299965
50388.01375379577,50388.01375379577
50156.07676060949,50156.07676060949
50108.877198094924,50108.877198094924
50337.759855900214,50337.759855900214
50080.68914510642,50080.68914510642
50193.517662446684,50193.517662446684
50089.09087223676,50089.09087223676
50313.334635053936,50313.334635053936
50244.07418141379,50244.07418141379
50288.415807647405,50288.415807647405
50364.01496469096,50364.01496469096
50380.25762801552,50380.25762801552
50280.85511051966,50280.85511051966
50257.25285173915,50257.25285173915
50243.18228337314,50243.18228337314
50339.34693966419,50339.34693966419
50347.01797481603,50347.01797481603
50427.44422424117,50427.44422424117
50243.60377756326,50243.60377756326
50032.63587472865,50032.63587472865
50161.46620427531,50161.46620427531
50124.71646659219,50124.71646659219
49928.25202588168,49928.25202588168
50235.03157785632,50235.03157785632
55052.020382038456,55052.020382038456
58155.10954164778,58155.10954164778
58760.11341408169,58760.11341408169
59036.38763968417,59036.38763968417
59009.95788111951,59009.95788111951
59025.79787938032,59025.79787938032
59069.892939576246,59069.892939576246
59140.65976802059,59140.65976802059
59031.074843197384,59031.074843197384
58980.42285377748,58980.42285377748
58968.302300991265,58968.302300991265
59009.8964787815,59009.8964787815
59146.41362094228,59146.41362094228
59044.15961070196,59044.15961070196
58999.307384859916,58999.307384859916
59095.01409537627,59095.01409537627
59158.54260716731,59158.54260716731
59019.92466410533,59019.92466410533
59083.02876747653,59083.02876747653
58996.33237681793,58996.33237681793
58988.81812072944,58988.81812072944
59038.8543557827,59038.8543557827
59124.275470685956,59124.275470685956
59043.27886633679,59043.27886633679
59175.38669996186,59175.38669996186
59035.69030607665,59035.69030607665
59070.877084766704,59070.877084766704
59060.43095292108,59060.43095292108
59092.21475927489,59092.21475927489
59185.846772796045,59185.846772796045
59082.91788211248,59082.91788211248
59189.37213083441,59189.37213083441
59015.53983675518,59015.53983675518
58972.10982326209,58972.10982326209
59072.32635939055,59072.32635939055
59058.10825051844,59058.10825051844
59008.399273706746,59008.399273706746
59175.908518195225,59175.908518195225
59070.25719852261,59070.25719852261
59170.36604547445,59170.36604547445
59124.71721202718,59124.71721202718
59201.32389813205,59201.32389813205
59064.420390878826,59064.420390878826
59047.6548673456,59047.6548673456
59032.46366715643,59032.46366715643
59064.661851262776,59064.661851262776
59119.55192527817,59119.55192527817
59054.38060358343,59054.38060358343
59084.385545162855,59084.385545162855
59151.49135645151,59151.49135645151
59067.94517280567,59067.94517280567
59084.84984789306,59084.84984789306
59066.10033452238,59066.10033452238
59106.74281058034,59106.74281058034
59059.982955243926,59059.982955243926
59059.70365035737,59059.70365035737
59082.74085850867,59082.74085850867
59094.59297108604,59094.59297108604
59037.864625252645,59037.864625252645
59000.88284190118,59000.88284190118
59067.64005294602,59067.64005294602
59037.911130212735,59037.911130212735
59020.85156470345,59020.85156470345
59059.179382452865,59059.179382452865
59187.71119827571,59187.71119827571
59020.496657078416,59020.496657078416
59064.176208706565,59064.176208706565
59117.93917386369,59117.93917386369
59066.040020620916,59066.040020620916
59088.97791183433,59088.97791183433
59051.883598648245,59051.883598648245
59211.110227724035,59211.110227724035
59074.00101989286,59074.00101989286
59059.4030449556,59059.4030449556
58941.20689858998,58941.20689858998
59023.48142158818,59023.48142158818
59066.55318048035,59066.55318048035
59085.85798982149,59085.85798982149
59087.899151239355,59087.899151239355
58980.158994613346,58980.158994613346
59089.48560197372,59089.48560197372
59108.450159248256,59108.450159248256
59007.124836864685,59007.124836864685
59048.78609933535,59048.78609933535
59123.5114520327,59123.5114520327
59156.85513890967,59156.85513890967
59233.91383203976,59233.91383203976
59067.93614688493,59067.93614688493
59107.437497109495,59107.437497109495
59120.41518534974,59120.41518534974
59067.77728262909,59067.77728262909
59110.20646892877,59110.20646892877
59111.102933945636,59111.102933945636
59051.07831886483,59051.07831886483
58954.958216284365,58954.958216284365
59083.47995564416,59083.47995564416
59166.09682276782,59166.09682276782
59086.73950427357,59086.73950427357
59129.581057183816,59129.581057183816
59053.98280968538,59053.98280968538
59036.104395569266,59036.104395569266
59040.20928063849,59040.20928063849
59201.61447174348,59201.61447174348
59033.888078934906,59033.888078934906
59007.5383947154,59007.5383947154
59000.16557683358,59000.16557683358
59084.3436849502,59084.3436849502
59038.060067131024,59038.060067131024
59057.36248120333,59057.36248120333
59120.770520830265,59120.770520830265
59128.05976164747,59128.05976164747
59102.49810856543,59102.49810856543
59135.49853714829,59135.49853714829
59042.23813185896,59042.23813185896
59104.638443569165,59104.638443569165
59054.4232921598,59054.4232921598
59099.57062891936,59099.57062891936
59078.731505961485,59078.731505961485
59134.61213586158,59134.61213586158
59178.09165023021,59178.09165023021
59130.31855429068,59130.31855429068
59218.0326465508,59218.0326465508
59165.78538203714,59165.78538203714
59067.196723970956,59067.196723970956
59123.15829870738,59123.15829870738
59031.765842968365,59031.765842968365
59181.550641950664,59181.550641950664
59033.42377986702,59033.42377986702
59060.090125173556,59060.090125173556
59012.52727340219,59012.52727340219
59162.588862337245,59162.588862337245
59005.638070563524,59005.638070563524
59084.641848727966,59084.641848727966
59050.026258294965,59050.026258294965
59105.55372282439,59105.55372282439
58950.517439324634,58950.517439324634
59072.06694407022,59072.06694407022
59028.77099386456,59028.77099386456
59134.10347135245,59134.10347135245
59143.99457477847,59143.99457477847
59106.080833618435,59106.080833618435
59073.44279539229,59073.44279539229
59043.00222465854,59043.00222465854
58892.32091725093,58892.32091725093
59130.287612915934,59130.287612915934
59124.6855802598,59124.6855802598
59008.25602964595,59008.25602964595
59056.177456776975,59056.177456776975
59049.73323739422,59049.73323739422
59066.85238180059,59066.85238180059
59031.555988756736,59031.555988756736
59083.59143235428,59083.59143235428
59004.68034168999,59004.68034168999
59087.404464242325,59087.404464242325
59099.03117509734,59099.03117509734
59013.44288121477,59013.44288121477
59019.66266628253,59019.66266628253
59165.8970158331,59165.8970158331
58902.39283738572,58902.39283738572
59050.712769697326,59050.712769697326
59107.03966978881,59107.03966978881
59125.27699888326,59125.27699888326
59122.84472287717,59122.84472287717
58962.958953038935,58962.958953038935
59032.93414859241,59032.93414859241
59047.92822515509,59047.92822515509
59234.04842506306,59234.04842506306
58945.73817027421,58945.73817027421
59056.59231895604,59056.59231895604
59045.78428921312,59045.78428921312
59183.01769331733,59183.01769331733
58885.20727852891,58885.20727852891
59003.726967069684,59003.726967069684
59147.62299728802,59147.62299728802
59074.72105427206,59074.72105427206
59014.34309803531,59014.34309803531
59079.304693850245,59079.304693850245
59250.67196893312,59250.67196893312
59231.36368910266,59231.36368910266
59075.483218470865,59075.483218470865
59224.304216337834,59224.304216337834
59049.273550681064,59049.273550681064
59097.477576753816,59097.477576753816
59049.313169221285,59049.313169221285
59071.916487140974,59071.916487140974
59095.17734962726,59095.17734962726
59026.516075404965,59026.516075404965
59008.91817405608,59008.91817405608
59115.65568007043,59115.65568007043
58959.709990187046,58959.709990187046
59149.236648607024,59149.236648607024
59078.24635102061,59078.24635102061
59134.341774163826,59134.341774163826
58936.50990106396,58936.50990106396
59058.46796920786,59058.46796920786
59023.94665631328,59023.94665631328
59164.041232039126,59164.041232039126
58998.1180016725,58998.1180016725
59063.72337841968,59063.72337841968
59076.813905173,59076.813905173
59008.44700655991,59008.44700655991
59066.66392387815,59066.66392387815
59014.56230809703,59014.56230809703
59059.92018544932,59059.92018544932
59184.59045817148,59184.59045817148
59073.38436216239,59073.38436216239
59115.90247559531,59115.90247559531
59145.59288070295,59145.59288070295
59033.55884564842,59033.55884564842
59078.822861023604,59078.822861023604
59043.88583637668,59043.88583637668
59009.65097829988,59009.65097829988
58938.966860462206,58938.966860462206
59152.255813732445,59152.255813732445
59009.63225061906,59009.63225061906
59061.09164776962,59061.09164776962
59085.112700642225,59085.112700642225
59083.76725242576,59083.76725242576
59015.33856526207,59015.33856526207
59219.01098363921,59219.01098363921
59163.80822382741,59163.80822382741
59209.19949633598,59209.19949633598
59166.26306690028,59166.26306690028
59047.281837364,59047.281837364
59019.462973764705,59019.462973764705
59010.83750333039,59010.83750333039
59072.31286437686,59072.31286437686
59147.202874841925,59147.202874841925
58969.09459035305,58969.09459035305
59096.58030261328,59096.58030261328
59051.7144354868,59051.7144354868
59102.75632065951,59102.75632065951
59002.579587183856,59002.579587183856
59076.16205924088,59076.16205924088
59039.753096741624,59039.753096741624
59098.54345891336,59098.54345891336
59072.521531454615,59072.521531454615
59112.2504652097,59112.2504652097
59108.27470822193,59108.27470822193
59140.18158546748,59140.18158546748
59159.25303854637,59159.25303854637
58944.87727532629,58944.87727532629
59123.04815290587,59123.04815290587
59087.15186029879,59087.15186029879
59028.83089411441,59028.83089411441
59116.54189845853,59116.54189845853
59076.06447812684,59076.06447812684
59020.11532779481,59020.11532779481
59060.02238449305,59060.02238449305
59184.55060372116,59184.55060372116
59106.88850319345,59106.88850319345
59027.62923447942,59027.62923447942
58982.55726068905,58982.55726068905
59178.13864845416,59178.13864845416
59185.92942640683,59185.92942640683
59187.21962025065,59187.21962025065
59076.86690687455,59076.86690687455
59031.57937503709,59031.57937503709
59141.76833004981,59141.76833004981
59021.6857759461,59021.6857759461
59006.24962609776,59006.24962609776
59127.68239304306,59127.68239304306
59103.30819747569,59103.30819747569
58966.31711022518,58966.31711022518
59141.411150683794,59141.411150683794
59128.514713972996,59128.514713972996
58985.64156178694,58985.64156178694
59037.31032708225,59037.31032708225
59069.156240828466,59069.156240828466
59016.65873588791,59016.65873588791
59061.87271572685,59061.87271572685
59185.22375703713,59185.22375703713
59137.739027384945,59137.739027384945
59115.07455220436,59115.07455220436
59120.51112577742,59120.51112577742
59006.94897345204,59006.94897345204
59014.825980272515,59014.825980272515
59207.33316512859,59207.33316512859
59163.15344486627,59163.15344486627
59030.70390837546,59030.70390837546
59104.22682336742,59104.22682336742
59044.28980834201,59044.28980834201
59087.7125665098,59087.7125665098
59062.744986320715,59062.744986320715
59035.77837745833,59035.77837745833
59043.48104357736,59043.48104357736
59036.09061255639,59036.09061255639
59047.24001519572,59047.24001519572
59038.83109930011,59038.83109930011
59009.05504566325,59009.05504566325
59000.45662454877,59000.45662454877
59045.66335204644,59045.66335204644
59097.94446358421,59097.94446358421
59023.297886028085,59023.297886028085
59061.646650023016,59061.646650023016
59075.937111843756,59075.937111843756
59076.025578284796,59076.025578284796
58988.97526879868,58988.97526879868
59068.812877008786,59068.812877008786
59045.99317443894,59045.99317443894
59152.385218360316,59152.385218360316
59088.58716059913,59088.58716059913
59054.103886828714,59054.103886828714
59103.06952886067,59103.06952886067
58989.18877546161,58989.18877546161
59238.64689645444,59238.64689645444
59050.02017310359,59050.02017310359
59069.74184482378,59069.74184482378
59218.73996648211,59218.73996648211
59107.50777617899,59107.50777617899
59107.77094038017,59107.77094038017
59055.60401746338,59055.60401746338
59074.81397515169,59074.81397515169
59029.16039837947,59029.16039837947
59034.36198207188,59034.36198207188
59048.97143784415,59048.97143784415
59024.12752646394,59024.12752646394
58998.41551414382,58998.41551414382
59101.35893152205,59101.35893152205
59164.124526350664,59164.124526350664
58942.657564563546,58942.657564563546
59116.06079284165,59116.06079284165
59199.56071343991,59199.56071343991
58933.07480098671,58933.07480098671
59036.65442515768,59036.65442515768
59095.35871096555,59095.35871096555
59071.401255790806,59071.401255790806
58980.10654041006,58980.10654041006
59042.93363878098,59042.93363878098
59139.263236612846,59139.263236612846
59065.52241854231,59065.52241854231
59012.151677621034,59012.151677621034
59037.17630816225,59037.17630816225
59095.26163408043,59095.26163408043
59006.7585067357,59006.7585067357
59113.10478238389,59113.10478238389
59176.11296820676,59176.11296820676
59002.47931829032,59002.47931829032
59075.743552766035,59075.743552766035
59144.82392160322,59144.82392160322
59001.24389855759,59001.24389855759
59056.38284060256,59056.38284060256
59087.57464686997,59087.57464686997
59104.65292306168,59104.65292306168
59092.417790773456,59092.417790773456
59149.92026484832,59149.92026484832
58873.0118006368,58873.0118006368
59056.436126679575,59056.436126679575
59163.69326716089,59163.69326716089
59144.858325704634,59144.858325704634
59006.374746212845,59006.374746212845
59028.60614689672,59028.60614689672
59003.898746755964,59003.898746755964
59026.72996742022,59026.72996742022
59082.421964175555,59082.421964175555
59062.9545369358,59062.9545369358
59142.39716919095,59142.39716919095
59036.886985589685,59036.886985589685
59092.687476051375,59092.687476051375
59008.38136092052,59008.38136092052
59054.74399296872,59054.74399296872
59113.999172794465,59113.999172794465
59135.934531669496,59135.934531669496
59023.0344968836,59023.0344968836
59037.05223334818,59037.05223334818
59001.31900725486,59001.31900725486
59080.811698621765,59080.811698621765
59175.975204603674,59175.975204603674
59067.18699956944,59067.18699956944
59015.06815159198,59015.06815159198
59039.595631758624,59039.595631758624
59108.28234118472,59108.28234118472
59094.98053693309,59094.98053693309
59148.668413528,59148.668413528
59111.90558583192,59111.90558583192
58968.730630727594,58968.730630727594
59023.041879824195,59023.041879824195
59128.274385059085,59128.274385059085
59114.534169699735,59114.534169699735
59099.84357075397,59099.84357075397
58990.67568818936,58990.67568818936
59123.78296550023,59123.78296550023
59153.734441307446,59153.734441307446
59071.81149838977,59071.81149838977
59099.40453878347,59099.40453878347
59083.117365687765,59083.117365687765
59081.40524151618,59081.40524151618
59080.65301660798,59080.65301660798
59046.426150756866,59046.426150756866
58991.96247365756,58991.96247365756
59007.59664477618,59007.59664477618
59040.96100121879,59040.96100121879
59019.52759032868,59019.52759032868
59036.84730736489,59036.84730736489
59000.794108817165,59000.794108817165
59077.4218723028,59077.4218723028
59057.38638964502,59057.38638964502
59146.39676040798,59146.39676040798
59070.40135545101,59070.40135545101
59065.14628034261,59065.14628034261
59022.704091989,59022.704091989
59107.93770645806,59107.93770645806
58951.92870714734,58951.92870714734
59014.63768975763,59014.63768975763
58958.371085162165,58958.371085162165
59146.91404307154,59146.91404307154
58973.77371544309,58973.77371544309
59179.08610982352,59179.08610982352
58951.298997051184,58951.298997051184
59127.58097549818,59127.58097549818
58987.02307389034,58987.02307389034
59124.951892176934,59124.951892176934
59206.73379612787,59206.73379612787
59022.44531989684,59022.44531989684
59081.56561652886,59081.56561652886
59066.16329030326,59066.16329030326
59009.39075809361,59009.39075809361
58999.30169699637,58999.30169699637
59004.134570159295,59004.134570159295
59183.976825146136,59183.976825146136
59095.01828538373,59095.01828538373
59073.78280783673,59073.78280783673
59120.17425866978,59120.17425866978
59112.209122879874,59112.209122879874
59090.35304175779,59090.35304175779
59096.661987804735,59096.661987804735
58974.498621544095,58974.498621544095
59080.03506397738,59080.03506397738
58994.73674653171,58994.73674653171
59196.6708212992,59196.6708212992
59206.229354757925,59206.229354757925
59059.73091395915,59059.73091395915
59081.18767136218,59081.18767136218
58979.681662841234,58979.681662841234
59109.36033363984,59109.36033363984
59064.586177515695,59064.586177515695
59082.8365058731,59082.8365058731
59044.6433248483,59044.6433248483
59029.710969902575,59029.710969902575
59023.969122046496,59023.969122046496
58996.42711982104,58996.42711982104
59016.641175859804,59016.641175859804
59132.774112714265,59132.774112714265
59077.4213767059,59077.4213767059
59115.38694527,59115.38694527
59071.444694082216,59071.444694082216
59042.57403304159,59042.57403304159
59048.70455362195,59048.70455362195
59050.56987387387,59050.56987387387
59206.5835724063,59206.5835724063
59120.34879804764,59120.34879804764
59186.70010913352,59186.70010913352
59063.32836545809,59063.32836545809
59052.24611322973,59052.24611322973
59042.76495151727,59042.76495151727
59075.72436483807,59075.72436483807
59235.574291248406,59235.574291248406
59058.18521080617,59058.18521080617
58928.34652790345,58928.34652790345
59104.66499484176,59104.66499484176
59056.186685229884,59056.186685229884
59190.0703768663,59190.0703768663
59038.06931269627,59038.06931269627
