Average Episodic Reward,Average Episodic N-Reward
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
Average Episodic Reward,Average Episodic N-Reward
50.0,50.0
50.0,50.0
50.0,50.0
50.0,50.0
50.0,50.0
50.0,50.0
50.0,50.0
50.0,50.0
50.0,50.0
Average Episodic Reward,Average Episodic N-Reward
14500.443430612871,14500.443430612871
14527.860134071998,14527.860134071998
14385.554492751588,14385.554492751588
14571.465370505639,14571.465370505639
14600.7730652619,14600.7730652619
14639.3084890461,14639.3084890461
14502.279898577546,14502.279898577546
14635.311180503648,14635.311180503648
14539.443814573788,14539.443814573788
14699.985282175243,14699.985282175243
14705.316743271702,14705.316743271702
14594.986147730795,14594.986147730795
14586.270523481488,14586.270523481488
14767.022190967728,14767.022190967728
14483.878208464514,14483.878208464514
14613.476755242848,14613.476755242848
14486.65567154349,14486.65567154349
14797.29508325836,14797.29508325836
14545.528076056742,14545.528076056742
14682.090494969985,14682.090494969985
14690.195248579501,14690.195248579501
14632.47139830518,14632.47139830518
14712.738750898177,14712.738750898177
14489.62233781345,14489.62233781345
14546.75265169597,14546.75265169597
14705.237842881339,14705.237842881339
14487.379252716608,14487.379252716608
14701.310679633627,14701.310679633627
14643.871013827093,14643.871013827093
14428.033709174602,14428.033709174602
14624.235484601191,14624.235484601191
14473.206705049826,14473.206705049826
14475.208842015423,14475.208842015423
14730.53081730213,14730.53081730213
14680.23796186793,14680.23796186793
14429.103968391826,14429.103968391826
14700.78038801339,14700.78038801339
14506.262992176102,14506.262992176102
14524.211009818626,14524.211009818626
14642.85866863921,14642.85866863921
14761.3059011298,14761.3059011298
14582.935054960504,14582.935054960504
14634.930818284014,14634.930818284014
14535.894139411344,14535.894139411344
14725.524462042375,14725.524462042375
14697.059188696301,14697.059188696301
14430.983250489971,14430.983250489971
14624.413467088398,14624.413467088398
14548.752781817424,14548.752781817424
14598.095950978655,14598.095950978655
14556.918293195691,14556.918293195691
18886.057259755587,18886.057259755587
17060.91920041766,17060.91920041766
18121.905550907086,18121.905550907086
17956.512884024545,17956.512884024545
18043.22116039586,18043.22116039586
17683.756598577125,17683.756598577125
17350.025506051046,17350.025506051046
17121.39646067037,17121.39646067037
17738.564931166402,17738.564931166402
17821.997430932257,17821.997430932257
17068.775423481136,17068.775423481136
17777.40548893897,17777.40548893897
17821.47721576222,17821.47721576222
18202.62405841333,18202.62405841333
